gene_id	GSM158644.CEL	GSM158645.CEL	GSM158646.CEL	GSM241999.CEL	GSM242000.CEL	GSM242001.CEL	GSM242002.CEL	GSM242003.CEL	GSM242004.CEL	GSM242005.CEL	GSM242006.CEL	GSM242007.CEL	GSM242008.CEL	GSM242009.CEL	GSM242010.CEL	GSM242011.CEL	GSM242012.CEL	GSM242013.CEL	GSM398074.CEL	GSM398076.CEL	GSM398078.CEL	GSM398080.CEL	GSM398082.CEL	GSM398084.CEL	GSM398086.CEL	GSM398088.CEL	GSM398090.CEL	GSM398092.CEL	GSM398094.CEL	GSM398096.CEL	GSM398098.CEL	GSM398100.CEL	GSM398102.CEL	GSM398104.CEL	GSM398106.CEL	GSM398108.CEL	GSM398110.CEL	GSM398112.CEL	GSM398114.CEL	GSM398116.CEL	GSM398118.CEL	GSM398120.CEL	GSM398122.CEL	GSM398124.CEL	GSM398126.CEL	GSM398128.CEL	GSM398130.CEL	GSM398132.CEL	GSM398134.CEL
1007_s_at	11.0295	10.9776	11.1138	10.397	10.4386	10.631	10.4485	10.5941	10.6623	10.4951	10.639	10.5779	10.3134	10.7146	10.4012	10.5989	10.5736	10.9882	8.97524	8.63311	9.39315	8.52114	8.86123	8.70898	9.40468	8.97754	9.26678	8.70505	8.93489	9.36571	9.2804	8.86783	8.74832	8.94347	9.13726	9.11962	8.87357	9.20166	8.81439	9.67265	9.31387	8.77013	9.05658	9.40189	9.06117	9.36784	9.30408	8.9685	9.41951
1294_at	8.52705	8.47624	8.59426	7.99422	8.73073	8.43088	8.49954	8.10329	8.1033	8.15879	8.34452	9.18248	8.20605	8.46779	8.43279	8.18504	8.52716	8.90842	7.30387	7.32941	7.47533	7.31272	7.5803	7.19535	7.15926	7.49991	7.42713	7.32728	7.45472	7.62911	7.09992	7.18698	7.2724	7.12861	7.67143	7.34393	7.37134	7.00107	6.98709	7.16334	7.1406	7.23128	7.12834	7.11163	7.12582	7.22343	7.22624	7.21789	7.07381
1773_at	6.77503	6.8526	6.3842	6.14154	6.48553	6.09897	6.44838	6.47018	6.29587	6.28142	6.47968	6.54419	6.23982	6.3792	6.72831	6.51448	6.41146	6.48814	6.70891	6.56391	6.68032	6.54313	6.81473	6.59668	6.36598	6.52263	6.70087	6.79313	6.82115	6.54049	6.62973	6.23995	6.42757	6.37517	6.56891	6.36838	6.48459	6.33636	6.20794	6.25951	6.18758	6.30696	6.46205	6.36531	6.44789	6.40193	6.72106	6.37747	6.55466
200012_x_at	12.847	12.6835	12.7526	12.3067	11.8723	11.6525	11.6884	11.6188	11.7389	11.9893	11.7188	11.653	11.8641	12.6276	11.7263	11.7443	12.0589	12.9875	9.2081	9.17172	9.72322	9.33753	9.90457	9.6585	10.0946	9.11024	9.03786	9.48866	9.44729	10.0031	9.29547	9.26228	10.3402	9.86108	10.1308	10.1382	9.96199	10.0501	9.63631	10.6352	9.85806	9.89892	9.99256	9.97224	9.45281	9.98505	9.26104	9.17503	9.28072
200018_at	13.3874	13.3009	13.0878	12.4035	12.5574	12.4653	11.9404	12.5556	12.4819	12.1784	12.127	12.0637	12.3685	12.5193	11.7356	12.4327	12.4917	12.6273	9.69874	9.50451	9.84628	9.77482	9.97134	10.279	10.4354	9.37697	9.70776	9.59125	9.70699	9.92837	9.72268	9.24284	10.3853	10.1444	10.2655	10.3574	10.4386	10.2238	10.277	10.8008	9.88333	10.0146	9.87992	9.6631	9.75124	9.7369	9.54585	9.8858	9.46675
200031_s_at	12.8433	12.7423	12.8555	12.4459	12.7158	12.7015	12.5869	12.9497	12.8387	13.2186	12.8475	13.079	12.8207	12.9891	12.8946	12.8658	13.2496	13.0307	9.96006	9.63489	10.173	9.74675	10.2193	10.386	10.5424	9.70062	9.99074	9.89503	10.2783	10.6565	10.1755	10.078	10.744	10.2988	10.4256	10.455	10.7266	10.7262	10.5703	11.171	10.4403	10.6745	10.771	10.127	10.4313	10.3947	9.57866	9.75271	9.7545
200033_at	10.1213	9.57567	11.7189	11.5692	11.7696	11.87	11.9409	10.8347	10.9125	11.2607	11.8139	11.6493	12.0174	11.5828	12.0514	11.1988	11.0367	12.0321	7.44396	8.0863	8.44432	8.07037	8.51239	8.69467	8.89113	7.72193	7.92673	7.93214	8.06426	9.36601	8.1274	8.18622	9.21872	9.10378	9.30619	8.80187	9.29286	9.16399	9.28213	9.78586	9.12873	7.94246	7.75	9.29663	9.2077	8.61843	8.71313	8.5848	8.00816
200038_s_at	12.9555	13.1545	12.6554	11.9737	12.0932	12.1036	12.167	11.7876	11.5946	12.4697	12.3754	12.4269	12.4034	12.7034	12.3155	11.8632	12.6069	12.6158	7.87144	7.81809	8.46338	7.62783	8.39282	8.63337	9.26471	7.56684	7.7246	7.73708	7.80192	8.52025	8.3357	7.63466	8.94546	8.55918	8.65029	9.13367	9.16554	9.01636	8.68501	9.99452	8.8122	8.44823	8.83673	8.59833	8.71718	8.72456	7.82409	7.98931	7.89938
200041_s_at	9.0252	8.0552	10.6442	9.4649	9.86608	9.92136	9.76449	9.28948	9.27594	9.39866	9.42276	9.32232	9.93631	7.30495	9.30371	9.30724	9.22992	11.7178	6.6055	6.70069	7.16502	6.96116	7.55962	7.58104	7.83559	6.55204	7.01593	7.36722	7.1223	7.55183	7.97687	8.34688	8.31161	7.96269	8.09108	7.68451	8.94241	7.69451	7.3068	8.13031	8.37066	7.2202	7.79241	7.90815	8.52366	8.09744	7.75616	7.11548	7.16374
200044_at	11.3228	11.1583	10.5153	9.14084	9.66687	10.1363	9.63846	9.78533	10.5117	9.80554	10.5542	10.4419	10.2162	9.59704	10.5696	9.96997	10.3845	10.394	7.63747	7.72693	7.31395	7.98818	8.41322	7.76121	8.35546	7.47753	7.58439	7.70387	7.70973	8.64321	8.49859	7.84021	8.2154	7.76042	8.02526	8.75171	8.36414	8.02861	8.63084	8.83307	8.42671	8.24137	8.05414	8.44129	8.45174	8.09926	7.89008	7.7584	7.94177
