cell	longitude	latitude	richness	npp_AVG	temp_AVG	prec_AVG	tempsea_AVG	presea_AVG	ele_RANGE
30	-82.8	78.2	0	0	-97.0042735	157.2136752	12000.68803	71.65384615	47
31	-81.8	78.2	0	6054088875	-99.83495146	151.7480141	12082.04104	75.71712268	70
32	-80.8	78.2	0	19209863040	-103.4643419	148.7975878	12177.33351	73.35867855	72
33	-79.8	78.2	0	18132439680	-108.2348144	146.0101514	12276.32651	71.90447662	89
34	-78.8	78.2	0	15491963506	-113.3310709	144.0810709	12657.87179	71.03242836	81
35	-77.8	78.2	0	17600867285	-119.7618158	140.2208178	13505.21104	73.2565399	87
36	-76.8	78.2	0	14776304242	-123.7407231	134.3513796	14318.2313	75.91712655	146
37	-75.8	78.2	0	11394541611	-120.8532571	141.2040731	14937.15218	73.3205468	130
38	-74.8	78.2	0	7537358336	-111.520057	150.6380252	14546.77688	64.44172798	95
39	-73.8	78.2	0	6185141760	-112.0521008	140.8420168	13781.29664	61.64957983	64
40	-72.8	78.2	0	0	-120.640257	136.4625268	12501.08458	61.52569593	86
47	-65.8	78.2	0	7263154176	-112.7629548	117.4796031	14026.44873	72.9724366	22
48	-64.8	78.2	0	14906627072	-115.6059143	126.6547978	13763.68014	68.04828002	151
49	-63.8	78.2	0	7075843072	-118.920904	127.1817326	13580.5791	66.8559322	138
64	-48.8	78.2	0	0	-161.5466738	133.1013949	14976.41148	69.18293991	212
65	-47.8	78.2	0	8355533120	-165.441949	146.6331757	14854.54676	65.48397688	517
66	-46.8	78.2	0	8718610404	-166.5745664	158.6548831	14687.1514	64.39489065	590
67	-45.8	78.2	0	6234346547	-159.2212066	150.3957952	14633.29738	66.30408288	562
109	-87.8	77.2	0	9901621248	-93.67326733	221.3712871	11227.04455	62.05445545	472
110	-86.8	77.2	0	43052153344	-88.07882241	207.3884141	11439.53656	66.49952517	501
111	-85.8	77.2	0	46164971520	-95.81082215	195.9643456	11694.40227	69.68833893	973
112	-84.8	77.2	0	32674100736	-99.76385542	188.5668675	11889.04819	71.02570281	838
113	-83.8	77.2	0	36406151794	-101.8884992	182.9211513	12072.50139	70.96347805	854
114	-82.8	77.2	0	37872136000	-103.0922587	179.252459	12318.02086	70.01703097	729
115	-81.8	77.2	0	42764084395	-106.955804	182.519696	12775.69596	68.17861822	492
116	-80.8	77.2	0	41894040320	-111.0040178	184.8434798	13555.17181	67.52668355	581
117	-79.8	77.2	0	40828599040	-115.2754826	180.0741549	14515.72085	68.83107695	700
118	-78.8	77.2	0	36230879744	-116.3374967	177.063237	15111.75221	69.84347978	830
119	-77.8	77.2	0	33816972992	-114.6763036	177.9048825	15057.78723	67.21809765	1662
120	-76.8	77.2	0	31415115093	-118.8658398	172.5707049	14594.0393	63.87300201	2304
121	-75.8	77.2	0	29722648000	-129.9825312	158.5983055	14056.21661	64.22106734	2352
122	-74.8	77.2	0	31213760341	-140.4739279	148.7875797	13483.95257	67.11590532	2536
123	-73.8	77.2	0	35987209472	-133.9615687	150.9239235	13145.38632	68.65429295	2118
124	-72.8	77.2	0	34418661472	-122.202508	166.3810593	13241.69624	71.23600973	1606
125	-71.8	77.2	0	24064346795	-106.9065918	193.5855749	13644.20544	70.90156666	479
126	-70.8	77.2	0	23831446162	-101.5102411	190.7192118	14613.88307	62.09929997	245
127	-69.8	77.2	0	27649655751	-104.0362375	177.5731689	14645.565	58.45520432	194
128	-68.8	77.2	0	29000704439	-105.9499301	159.0268531	14563.93231	58.66937063	244
129	-67.8	77.2	0	30987059014	-108.1330379	147.8131107	14438.2137	63.19779596	337
130	-66.8	77.2	0	35920928832	-110.778369	145.3252394	14196.09597	65.20924833	334
131	-65.8	77.2	0	31217741376	-114.6080783	157.661134	13856.86453	60.11551377	380
132	-64.8	77.2	0	21968243479	-117.0419467	173.8318656	13454.24855	55.73221321	625
133	-63.8	77.2	0	13331848738	-121.7991673	186.1076414	13028.05523	57.40435954	852
134	-62.8	77.2	0	9995993321	-121.7516549	191.9738312	12932.78413	61.06381878	863
135	-61.8	77.2	0	9267242291	-112.7130185	181.0700072	13482.32918	63.68976265	364
136	-60.8	77.2	0	8290003840	-120.3760469	187.2227806	13898.5335	62.04773869	116
141	-55.8	77.2	0	12351747627	-145.7610737	114.8539961	14868.07222	71.697039	212
148	-48.8	77.2	0	11712530505	-156.6556542	149.4955602	15311.17237	66.74902063	273
149	-47.8	77.2	0	11028193248	-153.4032459	161.9831941	14969.34322	68.34725823	273
