No QCAZ	ForeArm	Sex	Weight	Elevation	Sice_Code	SiteName	Habitat	Streblidae	T_joblingi	S_ambigua	S_guajiro	Richness
5257	44.82	m	21.5	1250	15	Cuevas de Mera	Bosque primario alrededor de cuevas	3	2	0	1	2
5261	43.81	m	17.5	1250	15	Cuevas de Mera	Bosque primario alrededor de cuevas	2	0	0	2	1
5272	47.31	h	20.5	1050	16	Puyo	Platanera junto a carretera	7	6	0	1	2
5273	45.77	h	21.5	1250	15	Cuevas de Mera	Bosque primario alrededor de cuevas	2	0	0	2	1
5274	43.52	m	17	1050	16	Puyo	Platanera junto a carretera	0	0	0	0	0
5275	43.2	h	17	1050	16	Puyo	Platanera junto a carretera	2	0	0	2	1
5276	43.94	m	17	1050	16	Puyo	Platanera junto a carretera	1	1	0	0	1
5277	41.09	h	18.5	1050	16	Puyo	Platanera junto a carretera	4	3	0	1	2
5451	40.49	m	20	886	4	Otongachi	Bosque primario	1	1	0	0	1
5454	39.95	m	18.5	886	4	Otongachi	Bosque primario	2	2	0	0	1
5460	41.2	m	20.75	886	4	Otongachi	Bosque primario	3	3	0	0	1
5480	41.64	m	19	275	18	Parque Nacional Yasuní	Bosque primario junto a carretera	0	0	0	0	0
5485	41.03	h	19	275	18	Parque Nacional Yasuní	Bosque primario junto a carretera	4	3	1	0	2
5488	43.59	m	20.5	275	18	Parque Nacional Yasuní	Bosque primario junto a carretera	0	0	0	0	0
5599	42.46	h	18.25	1172	6	Santa Rosa	Bosque secundario junto a pastizal	2	2	0	0	1
5600	42.57	m	21.25	1172	6	Santa Rosa	Bosque secundario junto a pastizal	1	0	0	1	1
5601	41.46	h	20.25	1172	6	Santa Rosa	Bosque secundario junto a pastizal	1	0	1	0	1
5602	40.77	m	17	1172	6	Santa Rosa	Bosque secundario junto a pastizal	4	0	3	1	2
5604	41.39	m	19.6	1172	6	Santa Rosa	Bosque secundario junto a pastizal	0	0	0	0	0
5605	43.67	m	16.5	1172	6	Santa Rosa	Bosque secundario junto a pastizal	1	1	0	0	1
5607	43.3	m	27.5	1172	6	Santa Rosa	Bosque secundario junto a pastizal	4	3	0	1	2
5614	40.48	m	18	1172	6	Santa Rosa	Bosque secundario junto a pastizal	4	4	0	0	1
5669	43.65	m	20	1185	10	"Macas, Bosque Domono"	"Bosque secundario junto a un camino vecinal, no construcciones cerca"	0	0	0	0	0
5674	42	h	18.5	1185	10	"Macas, Bosque Domono"	"Bosque secundario junto a un camino vecinal, no construcciones cerca"	0	0	0	0	0
5681	43.9	h	20	1185	10	"Macas, Bosque Domono"	"Bosque secundario junto a un camino vecinal, no construcciones cerca"	0	0	0	0	0
5682	44.1	h	21.5	1050	11	"Macas, Platanera cerca de la ciudad"	"Platanera junto a construcciones, sin bosque cerca"	3	2	1	0	2
5685	42.6	h	17.75	1050	11	"Macas, Platanera cerca de la ciudad"	"Platanera junto a construcciones, sin bosque cerca"	4	3	0	1	2
5686	43.1	h	18.5	1050	11	"Macas, Platanera cerca de la ciudad"	"Platanera junto a construcciones, sin bosque cerca"	4	3	0	1	2
5689	42.2	h	19	1050	11	"Macas, Platanera cerca de la ciudad"	"Platanera junto a construcciones, sin bosque cerca"	0	0	0	0	0
5690	43.2	m	21	1050	11	"Macas, Platanera cerca de la ciudad"	"Platanera junto a construcciones, sin bosque cerca"	0	0	0	0	0
5692	41.15	m	18.5	1050	11	"Macas, Platanera cerca de la ciudad"	"Platanera junto a construcciones, sin bosque cerca"	2	1	0	1	2
