flybase_id	rpkm2	rpkm6	rpkm8	rpkm10	gene_name	cgid	chr	start	stop	strand
FBgn0000003	0	0	0	0	7SLRNA	CR32864	chr3R	2648220	2648518	+
FBgn0000008	4.54	2.99	7.94	9.5	a	CG6741	chr2R	18024494	18060346	+
FBgn0000014	4.62	50.91	44.08	10.13	abd-A	CG10325	chr3R	12633349	12655769	-
FBgn0000015	3.19	21.71	15.92	5.9	Abd-B	CG11648	chr3R	12752932	12797958	-
FBgn0000017	33.6	19.08	36.49	16.5	Abl	CG4032	chr3L	16615461	16641674	-
FBgn0000018	6.6	2.79	3.02	3.8	abo	CG6093	chr2L	10973442	10975273	-
FBgn0000022	7.89	11.74	1.56	0.22	ac	CG3796	chrX	264064	264980	+
FBgn0000024	0.03	0.16	0.26	0.35	Ace	CG17907	chr3R	9053964	9085240	-
FBgn0000028	0.84	0.32	0.62	0.13	acj6	CG9151	chrX	15246390	15272487	-
FBgn0000032	22.6	2.9	4.09	7.27	Acph-1	CG7899	chr3R	25816861	25819130	-
FBgn0000036	0.02	0.05	0.13	0.14	nAcRalpha-96Aa	CG5610	chr3R	20226948	20282651	-
FBgn0000037	0.04	0.08	0.13	0.11	mAcR-60C	CG4356	chr2R	20266159	20277235	-
FBgn0000038	0.12	0.49	0.78	2.66	nAcRbeta-64B	CG11348	chr3L	4429370	4435999	+
FBgn0000039	0.17	0.17	0.2	0.68	nAcRalpha-96Ab	CG6844	chr3R	20311164	20316875	+
FBgn0000042	1959.7	1282.52	1042.53	794.6	Act5C	CG4027	chrX	5794897	5798823	+
FBgn0000043	299.33	444.53	351.46	318.31	Act42A	CG12051	chr2R	1901415	1903190	-
FBgn0000044	1.76	1388.08	2814.64	3471.4	Act57B	CG10067	chr2R	16831533	16833945	+
FBgn0000045	0.06	0.56	0.94	2.62	Act79B	CG7478	chr3L	21978331	21980290	+
FBgn0000046	53.4	506.78	625.48	176.82	Act87E	CG18290	chr3R	9251707	9253811	+
FBgn0000047	0.08	0.18	0.27	0.17	Act88F	CG5178	chr3R	11265710	11267895	+
FBgn0000052	8.92	8.46	19.13	48.32	ade2	CG9127	chr2L	6041178	6045970	-
FBgn0000053	10.27	6.15	8.05	30.65	ade3	CG31628	chr2L	7014861	7023940	-
FBgn0000054	63.6	95.12	42.04	40.36	Adf1	CG15845	chr2R	2549774	2555592	+
FBgn0000055	15.99	9.83	6.62	35.36	Adh	CG3481	chr2L	14615555	14618902	+
FBgn0000056	17.05	10.47	7.04	37.69	Adhr	CG3484	chr2L	14615555	14618902	+
FBgn0000057	12.43	7.91	9.99	12.29	adp	CG5124	chr2R	14039209	14041565	+
FBgn0000061	0.02	2.42	4.18	5.35	al	CG3935	chr2L	378116	387439	+
FBgn0000063	11.12	9.77	3.82	1.82	ald	CG7643	chr3R	13497020	13499550	+
FBgn0000064	71.51	44.98	56.77	229.34	Ald	CG6058	chr3R	22080404	22087313	-
FBgn0000071	436.52	571.45	278.88	181.84	Ama	CG2198	chr3R	2588315	2590983	+
